feature_id,milestone,status,api_pr,db_pr,ui_pr,worker_pr,tests_pr,observability_pr,security_review,qa_signoff,demo_impact,risk_level,blocker,owner,target_sprint,evidence_links
F-025,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S6,
F-026,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend,S6,
F-027,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S4,
F-028,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend Lead,S4,
F-029,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S8,
F-030,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend Lead,S3,
F-031,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend Engineer,S1,
F-032,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S1,
F-033,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S4,
F-034,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend,S2,
F-035,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S6,
F-036,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Frontend Engineer,S2,
F-037,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S2,
F-038,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform Engineer,S1,
F-039,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform Engineer,S1,
F-040,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform Lead,S1,
F-041,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Lead,S2,
F-042,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S4,
F-043,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S4,
F-044,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S8,
F-045,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend+Frontend,S9,
F-046,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-047,M4,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S10,
F-048,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Platform Engineer,S4,
F-049,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform Lead,S1,
F-050,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend Engineer,S4,
F-051,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S3,
F-052,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S3,
F-053,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S3,
F-054,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend+Frontend,S11,
F-055,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S8,
F-056,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S8,
F-057,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S8,
F-058,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-059,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-060,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-061,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S6,
F-062,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-063,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S11,
F-064,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend+Ops,S6,
F-065,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-066,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S6,
F-067,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S7,
F-068,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S9,
F-069,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend+Frontend,S12,
F-070,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S13,
F-071,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend Engineer,S4,
F-072,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S4,
F-073,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S4,
F-074,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend+Backend,S9,
F-075,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend Engineer,S3,
F-076,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-077,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-078,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S12,
F-079,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S6,
F-080,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend+Backend,S10,
F-081,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-082,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S3,
F-083,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S14,
F-084,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S3,
F-085,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-086,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S13,
F-087,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Frontend+Backend,S14,
F-088,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Ops,S11,
F-089,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S14,
F-090,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Frontend Engineer,S4,
F-091,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S11,
F-092,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-093,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend Engineer,S1,
F-094,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-095,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend,S15,
F-096,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Ops,S9,
F-097,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-098,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-099,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Ops Engineer,S1,
F-100,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-101,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S4,
F-102,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Ops,S6,
F-103,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Lead,S2,
F-104,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Platform Engineer,S4,
F-105,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform Engineer,S4,
F-106,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend,S8,
F-107,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend+Backend,S9,
F-108,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-109,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S1,
F-110,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S1,
F-111,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S4,
F-112,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend,S5,
F-113,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S4,
F-114,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Ops,S11,
F-115,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S2,
F-116,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Ops,S12,
F-117,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend,S5,
F-118,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend,S8,
F-119,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Ops,S11,
F-120,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Frontend+Backend,S12,
F-121,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-122,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S12,
F-123,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S12,
F-124,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend+Frontend,S13,
F-125,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend+Frontend,S13,
F-126,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S11,
F-127,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Ops,S15,
F-128,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-129,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S8,
F-130,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend,S15,
F-131,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Data Engineer,S3,
F-132,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S14,
F-133,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S15,
F-134,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend+Backend,S9,
F-135,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-136,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-137,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S14,
F-138,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S14,
F-139,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-140,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform Engineer,S2,
F-141,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform Engineer,S1,
F-142,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend Lead,S1,
F-143,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend Lead,S1,
F-144,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S1,
F-145,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform,S9,
F-146,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend Lead,S1,
F-147,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform+Ops,S6,
F-148,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Ops,S1,
F-149,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Ops,S10,
F-150,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Ops Engineer,S1,
F-151,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S1,
F-152,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend Engineer,S2,
F-153,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S6,
F-154,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S11,
F-155,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend Lead,S1,
F-156,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,QA Lead,S1,
F-157,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Ops+Backend,S12,
F-158,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-159,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S2,
F-160,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-161,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-162,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend Engineer,S2,
F-163,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S11,
F-164,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S7,
F-165,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-166,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S11,
F-167,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S12,
F-168,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-169,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-170,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Ops,S12,
F-171,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S11,
F-172,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend Engineer,S3,
F-173,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S3,
F-174,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-175,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-176,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend+Backend,S9,
F-177,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-178,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend,S14,
F-179,M3,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-180,M3,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Frontend+Backend,S15,
F-181,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-182,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S11,
F-183,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S14,
F-184,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-185,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S3,
F-186,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S11,
F-187,M4,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S9,
F-188,M4,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S11,
F-189,M4,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-190,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Data Engineer,S3,
F-191,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S12,
F-192,M4,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S14,
F-193,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S15,
F-194,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S11,
F-195,M4,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend+Frontend,S14,
F-196,M4,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S11,
F-197,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S11,
F-198,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Ops,S15,
F-199,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Ops,S9,
F-200,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Security+Platform,S1,
F-201,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Ops,S6,
F-202,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend+Ops,S1,
F-203,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Ops,S7,
F-204,M4,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S7,
F-205,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Ops,S12,
F-206,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Lead,S1,
F-207,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S2,
F-208,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S2,
F-209,M4,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend+Backend,S9,
F-210,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S1,
F-211,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Platform Engineer,S4,
F-212,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S4,
F-213,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend Engineer,S4,
F-214,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend Engineer,S4,
F-215,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Ops,S11,
F-216,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform Engineer,S2,
F-217,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform Engineer,S2,
F-218,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Frontend,S9,
F-219,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform,S6,
F-220,M4,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Platform,S9,
F-221,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S4,
F-222,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S4,
F-223,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S4,
F-224,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Frontend Engineer,S2,
F-225,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend,S1,
F-226,M5,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend+Backend,S7,
F-227,M5,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend+Backend,S9,
F-228,M5,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S11,
F-229,M5,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S10,
F-230,M5,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S14,
F-231,M5,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend+Frontend,S15,
F-232,M5,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend,S15,
F-233,M5,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S12,
F-234,M5,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Frontend,S12,
F-235,M5,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend,S11,
F-236,M5,NOT_STARTED,,,,,,,N/A,PENDING,NO,LOW,,Backend+Frontend,S14,
F-237,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Ops+Platform,S4,
F-238,M5,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Ops+QA,S12,
F-239,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,MED,,Backend+Ops,S4,
F-240,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Program+Ops,S4,
