feature_id,epic,module,feature_name,stakeholder,priority,status,complexity,dependencies,acceptance_criteria,api_artifacts,db_artifacts,ui_artifacts,worker_artifacts,observability_artifacts,test_unit,test_integration,test_e2e,demo_supported,demo_notes,security_risk,compliance_impact,owner,target_release,sprint,notes
F-030,Security & Reliability,reliability,Idempotency middleware for critical writes,All,P0,NOT_STARTED,M,F-020|F-022|F-028,Critical write endpoints enforce key+fingerprint replay semantics with conflict detection,All critical POST/PATCH,idempotency_keys,,cleanup job,trace.idempotency.check;log.idempotency,true,true,true,false,,High,High,Backend,R1,S3,
F-031,Security & Reliability,audit,Append-only audit event ledger,All,P0,NOT_STARTED,M,F-004,Security-sensitive actions are immutable and queryable by tenant and actor,,audit_events,Audit viewer UI,audit export job,trace.audit.write;log.audit,true,true,true,true,Demo shows scoped synthetic audit events,High,High,Backend+Frontend,R1,S3,
F-032,Security & Reliability,security,Rate limiting and abuse controls,All,P0,NOT_STARTED,S,F-002,Auth/chat/meeting/billing endpoints protected by tenant+actor-aware limits,Protected endpoints,security_events,Rate-limit UX states,,metrics.rate_limit;log.security,true,true,true,true,Demo has stricter anonymous limits,Medium,Medium,Backend+Frontend,R1,S2,
F-033,Discoverability,search,Candidate search/filter/sort,Employer|Agency,P0,NOT_STARTED,M,F-006,Employer can search candidates with filters and stable paging,GET /v1/candidates,candidate_profiles;candidate_skills,Candidate search UI,,trace.search.candidates;metrics.search.latency,true,true,true,true,Demo includes rich searchable data,Low,Low,Backend+Frontend,R1,S4,
F-034,Keyboard UX,shortcuts,Command palette (Cmd/Ctrl+K),All,P0,NOT_STARTED,S,,Global command palette opens quickly with role-aware actions,GET /v1/flags,command_palette_events,Command palette UI,,trace.ui.command_palette;metrics.shortcuts,true,true,true,true,Demo highlights keyboard onboarding,Low,Low,Frontend,R1,S2,
F-035,Keyboard UX,shortcuts,Scoped keyboard bindings and conflict resolver,All,P1,NOT_STARTED,M,F-034,Global/page/modal shortcuts resolve conflicts and persist user preferences,GET/PATCH /v1/shortcuts,shortcut_profiles;shortcut_bindings;shortcut_usage_events,Shortcut settings UI,,trace.shortcuts.resolve;metrics.shortcuts.usage,true,true,true,true,Demo allows temporary custom bindings,Low,Low,Backend+Frontend,R2,S6,
F-036,Demo Platform,demo,Public demo entry without registration,Visitor,P0,NOT_STARTED,S,,Visitor can enter candidate/employer/agency demo instantly with banner and limits,GET /demo/start,demo_sessions,Demo landing and role chooser,demo session reset job,trace.demo.start;metrics.demo.conversion,true,true,true,true,No signup required and isolated sandbox tenant,Medium,Low,Backend+Frontend,R1,S2,
F-037,Demo Platform,demo,Demo seeded dataset and reset controls,Visitor,P0,NOT_STARTED,M,F-036,Demo has realistic seeded data and can reset workspace deterministically,POST /v1/demo/reset,demo_seed_versions;demo_resets,Reset demo UI,demo seed/reset jobs,trace.demo.reset;log.demo.seed,true,true,true,true,All writes scoped to demo tenant only,Medium,Low,Backend+Frontend,R1,S3,
F-038,Observability,observability,OpenTelemetry traces + correlation IDs,Internal,P0,NOT_STARTED,M,,Traces cover HTTP DB jobs external calls with request/org/user correlation IDs,,security_events,Ops dashboard,,trace.* coverage baseline,true,true,false,false,,Low,Medium,Backend,R1,S1,
F-039,Observability,observability,Sentry exception monitoring + release tagging,Internal,P0,NOT_STARTED,S,F-038,Unhandled errors captured with tenant-safe context and release/environment tags,,security_events,Error fallback UI,,metrics.errors;alerts.sentry,true,true,false,false,,Low,Medium,Backend+Frontend,R1,S1,
F-040,Quality,test,CI gates and quality checks,Internal,P0,NOT_STARTED,M,,Pipeline blocks merges on typecheck/lint/tests/build/migrations,,,,,ci telemetry,true,true,true,false,,Low,Medium,Platform,R1,S1,
F-041,UX & Accessibility,accessibility,WCAG AA focus management and skip links,All,P0,NOT_STARTED,M,F-034,All interactive views pass keyboard navigation and visible focus requirements,,,Global a11y components,,trace.a11y.focus,true,true,true,true,Demo includes a11y tour,Low,Medium,Frontend,R1,S2,
F-042,Notifications,notifications,In-app notification center,All,P1,NOT_STARTED,M,F-023,Users receive structured in-app notifications for chat/scheduling/interview events,GET /v1/notifications,notification_events,Notification center UI,notification fanout job,trace.notifications.dispatch,true,true,true,true,Demo includes accelerated notification feed,Low,Low,Backend+Frontend,R2,S5,
F-043,Notifications,notifications,Email notification hooks (production-safe),All,P1,NOT_STARTED,M,F-042,Email templates trigger for key events with retry and suppression rules,POST /v1/internal/notify/email,notification_events,email settings UI,email dispatcher job,trace.notifications.email;metrics.email.delivery,true,true,true,false,Demo suppresses external sends and logs only,Medium,Medium,Backend+Frontend,R2,S6,
F-044,Compliance,privacy,Consent and deletion request workflows,All,P1,NOT_STARTED,M,F-031,Users can submit/access/delete requests tracked with audit and policy checks,POST /v1/privacy/deletion-requests,consents;deletion_requests,Privacy center UI,privacy ops job,trace.privacy.requests;audit.privacy,true,true,true,false,,Medium,High,Backend+Frontend,R3,S8,
F-045,Agency Features,agency,Multi-client agency workspace isolation,Agency,P1,NOT_STARTED,L,F-003,Agency manages multiple client orgs with strict boundary controls,GET /v1/agency/clients,organizations;organization_members,Agency workspace UI,,trace.agency.scope;audit.agency,true,true,true,true,Demo agency has 2 synthetic clients,High,High,Backend+Frontend,R3,S9,
F-046,Analytics,analytics,Hiring funnel metrics dashboard,Employer|Agency,P1,NOT_STARTED,M,F-014,Dashboard shows stage conversion time-to-stage response SLAs and trends,GET /v1/analytics/funnel,application_stage_events,Analytics dashboard,metrics aggregation job,trace.analytics.query;metrics.funnel,true,true,true,true,Demo displays seeded KPI snapshots,Low,Low,Backend+Frontend,R3,S9,
F-047,Search & Ranking,search,Explainable candidate match scoring,Employer|Agency,P2,NOT_STARTED,L,F-033,Candidate ranking includes explainable factors and adjustable weights,GET /v1/candidates/match,candidate_profiles;candidate_skills,Match insights UI,rank recompute job,trace.match.scoring;metrics.match.click,true,true,true,true,Demo uses synthetic model weights,Medium,Medium,Backend+Frontend,R4,S10,
F-048,Platform Flags,flags,Feature flags per tenant/plan/role,Internal,P1,NOT_STARTED,M,F-027,Runtime flags evaluate by tenant context with safe fallback behavior,GET /v1/flags,entitlements,Flag-driven UI guards,,trace.flags.eval;metrics.flags.fallback,true,true,true,true,Demo toggles are isolated,Low,Medium,Backend+Frontend,R2,S5,
F-049,Data Ops,platform,Zero-downtime migration workflow,Internal,P0,NOT_STARTED,M,F-040,Expand-migrate-contract process documented and validated in CI,,audit_events,,migration verifier job,metrics.migration.duration,true,true,false,false,,Low,High,Platform,R1,S1,
F-050,Resilience,reliability,Queue retry/DLQ policy for reminders/notifications,Internal,P0,NOT_STARTED,M,F-023|F-043,Failed jobs retry with backoff then DLQ with operator visibility,,reminder_jobs;notification_events,Ops queue monitor,queue retry/DLQ workers,metrics.jobs.retry;metrics.jobs.dlq,true,true,true,false,,Low,Medium,Backend+Ops,R1,S4,
F-051,Scheduling,scheduling,Meeting availability management,Candidate|Employer,P1,NOT_STARTED,M,F-019,Users can define recurring availability and exceptions with timezone safety,GET/POST/PATCH /v1/availability,meeting_availability_blocks,Availability settings UI,,trace.availability.write;metrics.availability.conflicts,true,true,true,true,Demo has prefilled availability blocks,Low,Low,Backend+Frontend,R2,S5,
F-052,Scheduling,scheduling,Conflict detection for double-booking,All,P0,NOT_STARTED,M,F-051,Meeting creation rejects overlapping slots with deterministic conflict errors,POST /v1/meetings/request,meeting_requests;meeting_participants,Conflict UX in scheduler,,trace.scheduling.conflict;metrics.scheduling.rejects,true,true,true,true,Demo simulates overlap scenarios,Medium,Low,Backend+Frontend,R1,S4,
F-053,Scheduling,scheduling,Meeting cancellation workflow,Employer|Candidate,P1,NOT_STARTED,S,F-020,Authorized party can cancel meeting with reason and notification fanout,POST /v1/meetings/:id/cancel,meeting_status_events,Meeting details actions,reminder cancel job,trace.meeting.cancel;audit.meeting,true,true,true,true,Demo supports cancel + reset,Medium,Medium,Backend+Frontend,R2,S5,
F-054,Scheduling,calendar,Calendar sync links (Google/Microsoft-ready),Employer|Candidate,P2,NOT_STARTED,L,F-051,Users can link external calendars and sync availability busy blocks safely,POST/GET /v1/calendar/links,calendar_sync_links,Calendar integrations UI,calendar sync worker,trace.calendar.sync;metrics.calendar.errors,true,true,true,false,Demo shows mock connection state only,High,Medium,Backend+Frontend,R4,S11,
F-055,Scheduling,reminders,Reminder user preferences,Candidate|Employer,P2,NOT_STARTED,S,F-023,Users can configure reminder channels and timing defaults,GET/PATCH /v1/reminders/preferences,reminder_rules,Reminder preferences UI,,trace.reminders.preferences,true,true,true,true,Demo persists per demo session TTL,Low,Low,Backend+Frontend,R3,S8,
F-056,Messaging,chat,Typing indicators (ephemeral),Employer|Candidate,P2,NOT_STARTED,S,F-017,Participants see typing state in real time without durable persistence,WS /v1/chat/typing,presence_sessions,Typing indicator UI,realtime presence worker,trace.chat.typing;metrics.chat.ws,true,true,true,true,Demo enabled with rate caps,Low,Low,Backend+Frontend,R3,S8,
F-057,Messaging,chat,Presence status (online/away),Employer|Candidate,P2,NOT_STARTED,S,F-056,Conversation participant presence is displayed with heartbeat timeout,WS /v1/presence,presence_sessions,Presence badges,,trace.chat.presence;metrics.presence.heartbeats,true,true,true,true,Demo shows synthetic presence pulses,Low,Low,Backend+Frontend,R3,S8,
F-058,Messaging,chat,Message search within conversation,Employer|Candidate,P2,NOT_STARTED,M,F-017,Users can search message text with highlights and pagination,GET /v1/conversations/:id/messages/search,messages,Chat search UI,,trace.chat.search;metrics.search.latency,true,true,true,true,Demo supports bounded index,Low,Low,Backend+Frontend,R3,S9,
F-059,Messaging,chat,Pinned messages,Employer|Candidate,P2,NOT_STARTED,S,F-017,Participants can pin/unpin important messages in a conversation,POST/DELETE /v1/conversations/:id/pins,conversation_pins,Pinned messages panel,,trace.chat.pins,true,true,true,true,Demo enabled,Low,Low,Backend+Frontend,R3,S9,
F-060,Messaging,chat,Conversation mute and notification controls,Employer|Candidate,P2,NOT_STARTED,S,F-042,Users can mute conversations and override notification behavior,PATCH /v1/conversations/:id/notifications,conversation_notification_prefs,Conversation settings UI,,trace.chat.mute;metrics.notifications.suppressed,true,true,true,true,Demo enabled,Low,Low,Backend+Frontend,R3,S9,
F-061,Messaging,chat,Message soft-delete with audit trail,Employer|Candidate,P1,NOT_STARTED,M,F-017,Authorized delete hides message from UI while preserving compliance metadata,DELETE /v1/conversations/:id/messages/:msgId,messages;audit_events,Message action menu,,trace.chat.delete;audit.chat,true,true,true,true,Demo delete reversible via reset only,Medium,Medium,Backend+Frontend,R2,S6,
F-062,Messaging,chat,Message edit history,Employer|Candidate,P2,NOT_STARTED,S,F-017,Edits are versioned and viewable per permission policy,PATCH /v1/conversations/:id/messages/:msgId,message_edits,Edited indicator/history drawer,,trace.chat.edits,true,true,true,true,Demo enabled with capped history,Low,Low,Backend+Frontend,R3,S9,
F-063,Messaging,chat,Reaction support on messages,Employer|Candidate,P3,NOT_STARTED,S,F-017,Users can add/remove emoji reactions with real-time updates,POST/DELETE /v1/conversations/:id/messages/:msgId/reactions,message_reactions,Reaction picker UI,,trace.chat.reactions,true,true,true,true,Demo enabled,Low,Low,Backend+Frontend,R4,S11,
F-064,Messaging,chat,Attachment malware scanning hook,Internal,P1,NOT_STARTED,M,F-018,Uploaded attachments pass scanning policy before availability,internal /v1/internal/attachments/scan,message_attachments;security_events,Attachment state badges,scan pipeline worker,trace.attach.scan;metrics.attach.scan_fail,true,true,true,false,Demo simulates scanner results,High,High,Backend+Ops,R2,S6,
F-065,Messaging,chat,Conversation archival policies,Employer|Agency,P2,NOT_STARTED,M,F-016,Orgs can archive conversations by policy while preserving retrieval controls,POST /v1/conversations/:id/archive,conversations;audit_events,Archive filters UI,retention policy job,trace.chat.archive;audit.retention,true,true,true,false,Demo read-only archive examples,Medium,High,Backend+Frontend,R4,S12,
F-066,Interview,interview,Pre-join device diagnostics,Candidate|Employer,P1,NOT_STARTED,M,F-024,Users can run camera/mic/network checks before interview join,POST /v1/interviews/preflight,video_session_events,Preflight diagnostics UI,,trace.interview.preflight;metrics.preflight.fail,true,true,true,true,Demo returns synthetic diagnostics,Low,Low,Backend+Frontend,R2,S6,
F-067,Interview,interview,Waiting room controls for host,Employer|Interviewer,P1,NOT_STARTED,M,F-024,Host can admit/remove participants with audit logs and role policy,POST /v1/interviews/rooms/:id/lobby-actions,video_session_participants;audit_events,Waiting room panel,,trace.interview.lobby;audit.interview,true,true,true,true,Demo includes lobby simulator,Medium,Medium,Backend+Frontend,R2,S7,
F-068,Interview,interview,Screen share permission model,Employer|Candidate,P2,NOT_STARTED,M,F-024,Role-scoped screen share permissions enforce host policy,POST /v1/interviews/rooms/:id/screen-share-policy,video_room_policies,In-call controls,,trace.interview.screenshare;security.screen,true,true,true,true,Demo supports mock stream only,Medium,Medium,Backend+Frontend,R3,S9,
F-069,Interview,interview,Interview recording metadata flow,Employer|Agency,P2,NOT_STARTED,L,F-024,Recording consent and metadata are persisted with tenant policy checks,POST /v1/interviews/sessions/:id/recording,interview_recordings;consents,Recording controls UI,recording metadata job,trace.interview.recording;audit.consent,true,true,true,false,Demo uses fake recording artifacts,High,High,Backend+Frontend,R4,S12,
F-070,Interview,interview,Transcript ingestion metadata,Candidate|Employer,P3,NOT_STARTED,L,F-069,Transcript metadata can be ingested and linked to session evidence,POST /v1/interviews/sessions/:id/transcript,interview_transcripts,Transcript panel,transcript processing worker,trace.interview.transcript;metrics.transcript.latency,true,true,true,false,Demo synthetic transcripts only,Medium,High,Backend+Frontend,R5,S13,
F-071,Interview,evaluation,Structured interview rubric templates,Employer|Agency,P1,NOT_STARTED,M,F-015,Org can define rubric templates by role and stage with versioning,GET/POST /v1/rubrics,rubric_templates,Rubric template manager,,trace.rubric.templates,true,true,true,true,Demo includes default rubric sets,Low,Low,Backend+Frontend,R2,S7,
F-072,Interview,evaluation,Post-call action launcher,Employer|Interviewer,P1,NOT_STARTED,S,F-015,After interview user can stage move/request follow-up/reject with one action panel,POST /v1/interviews/sessions/:id/actions,application_stage_events,Post-call action drawer,notification job,trace.interview.actions,true,true,true,true,Demo enabled,Low,Low,Backend+Frontend,R2,S7,
F-073,Applications,evaluation,Decision records with evidence links,Employer|Agency,P1,NOT_STARTED,M,F-015,Final decisions must include evidence references and actor attribution,POST /v1/applications/:id/decision,decision_records;audit_events,Decision modal,,trace.decision.record;audit.decision,true,true,true,true,Demo requires mandatory reason in sandbox,Medium,Medium,Backend+Frontend,R2,S7,
F-074,Applications,pipeline,Pipeline board swimlanes and WIP limits,Employer|Agency,P2,NOT_STARTED,M,F-014,Pipeline UI supports custom stages and optional WIP threshold alerts,GET/PATCH /v1/pipeline/config,pipeline_configs,Pipeline board UI,pipeline alert job,trace.pipeline.board;metrics.pipeline.wip,true,true,true,true,Demo includes seeded pipeline,Low,Low,Frontend+Backend,R3,S9,
F-075,Applications,pipeline,SLA breach alerts for stalled candidates,Employer|Agency,P1,NOT_STARTED,M,F-014,System alerts when stage SLA exceeds thresholds with owner routing,,application_stage_events;notification_events,SLA indicators UI,sla breach worker,metrics.pipeline.sla_breach;trace.pipeline.sla,true,true,true,true,Demo uses shortened SLA timers,Low,Low,Backend+Frontend,R3,S9,
F-076,Search & Ranking,search,Saved searches and alerts,Employer|Agency,P2,NOT_STARTED,M,F-033,Users can save search filters and receive updates on matching candidates,POST/GET /v1/searches/saved,saved_searches,Saved searches UI,saved-search notifier,trace.search.saved;metrics.search.alerts,true,true,true,true,Demo supports seeded search templates,Low,Low,Backend+Frontend,R3,S10,
F-077,Search & Ranking,search,Boolean query support for recruiters,Employer|Agency,P2,NOT_STARTED,M,F-033,Search parser supports boolean operators with safe query limits,GET /v1/candidates?q=...,search_query_logs,Advanced search builder,,trace.search.boolean;metrics.search.parse_errors,true,true,true,true,Demo includes query examples,Low,Low,Backend+Frontend,R3,S10,
F-078,Search & Ranking,search,Search relevance explainability panel,Employer|Agency,P3,NOT_STARTED,M,F-047,UI explains top ranking factors for each match result,GET /v1/candidates/match/:id/explain,match_explanations,Explainability drawer,,trace.match.explain;metrics.match.explain_views,true,true,true,true,Demo uses synthetic factor weights,Low,Medium,Backend+Frontend,R4,S12,
F-079,Employer Ops,employer,Candidate shortlist management,Employer|Agency,P1,NOT_STARTED,S,F-033,Employers can save/remove candidates to shortlist with notes,POST/DELETE /v1/shortlists/:id/items,shortlists;shortlist_items,Shortlist UI,,trace.shortlist.update,true,true,true,true,Demo shortlists pre-populated,Low,Low,Backend+Frontend,R2,S6,
F-080,Employer Ops,employer,Candidate comparison workspace,Employer|Agency,P2,NOT_STARTED,M,F-079,Users can compare shortlisted candidates side-by-side on key attributes,GET /v1/shortlists/:id/compare,shortlist_items,Candidate compare view,,trace.shortlist.compare;metrics.compare.usage,true,true,true,true,Demo includes comparison cards,Low,Low,Frontend+Backend,R3,S10,
F-081,Employer Ops,employer,Role blueprint composer,Employer|Agency,P2,NOT_STARTED,M,F-011,Job creation supports structured must-have/nice-to-have rubric sections,POST/PATCH /v1/jobs/:id/blueprint,job_blueprints,Role blueprint editor,,trace.jobs.blueprint,true,true,true,true,Demo includes templates,Low,Low,Backend+Frontend,R3,S10,
F-082,Employer Ops,employer,Hiring team assignment and permissions,Employer|Agency,P1,NOT_STARTED,M,F-004,Roles can be assigned per requisition with scoped actions,POST /v1/jobs/:id/team,job_team_assignments,Team assignment UI,,trace.jobs.team;audit.jobs,true,true,true,true,Demo team seeded with restricted roles,Medium,Medium,Backend+Frontend,R2,S7,
F-083,Employer Ops,employer,Interviewer load balancing suggestions,Employer|Agency,P3,NOT_STARTED,M,F-082,System suggests interviewer assignments based on load and expertise,GET /v1/interviewers/suggestions,interviewer_load_snapshots,Scheduler suggestions UI,load snapshot worker,metrics.interviewer.load;trace.scheduler.suggest,true,true,true,false,Demo uses synthetic loads,Low,Low,Backend+Frontend,R5,S14,
